"experiment_id","scenario","run_seed","height_zone","larvae","total_larvae","proportion"
"E3","V3A",4103,">8 cm",12,1000,0.012
"E3","V3A",4104,"<2 cm",988,1000,0.988
"E3","V3A",4104,"2-4 cm",0,1000,0
"E3","V3A",4104,"4-6 cm",0,1000,0
"E3","V3A",4104,"6-8 cm",0,1000,0
"E3","V3A",4104,">8 cm",12,1000,0.012
"E3","V3A",4105,"<2 cm",984,1000,0.984
"E3","V3A",4105,"2-4 cm",0,1000,0
"E3","V3A",4105,"4-6 cm",0,1000,0
"E3","V3A",4105,"6-8 cm",0,1000,0
"E3","V3A",4105,">8 cm",16,1000,0.016
"E3","V3A",4106,"<2 cm",984,1000,0.984
"E3","V3A",4106,"2-4 cm",0,1000,0
"E3","V3A",4106,"4-6 cm",0,1000,0
"E3","V3A",4106,"6-8 cm",0,1000,0
"E3","V3A",4106,">8 cm",16,1000,0.016
"E3","V3A",4107,"<2 cm",984,1000,0.984
"E3","V3A",4107,"2-4 cm",0,1000,0
"E3","V3A",4107,"4-6 cm",0,1000,0
"E3","V3A",4107,"6-8 cm",0,1000,0
"E3","V3A",4107,">8 cm",16,1000,0.016
"E3","V3A",4108,"<2 cm",968,1000,0.968
"E3","V3A",4108,"2-4 cm",0,1000,0
"E3","V3A",4108,"4-6 cm",0,1000,0
"E3","V3A",4108,"6-8 cm",0,1000,0
"E3","V3A",4108,">8 cm",32,1000,0.032
"E3","V3A",4109,"<2 cm",972,1000,0.972
"E3","V3A",4109,"2-4 cm",0,1000,0
"E3","V3A",4109,"4-6 cm",0,1000,0
"E3","V3A",4109,"6-8 cm",0,1000,0
"E3","V3A",4109,">8 cm",28,1000,0.028
"E3","V3A",4110,"<2 cm",984,1000,0.984
"E3","V3A",4110,"2-4 cm",0,1000,0
"E3","V3A",4110,"4-6 cm",0,1000,0
"E3","V3A",4110,"6-8 cm",0,1000,0
"E3","V3A",4110,">8 cm",16,1000,0.016
"E3","V3A",5101,"<2 cm",2187,2250,0.972
"E3","V3A",5101,"2-4 cm",18,2250,0.008
"E3","V3A",5101,"4-6 cm",0,2250,0
"E3","V3A",5101,"6-8 cm",0,2250,0
"E3","V3A",5101,">8 cm",45,2250,0.02
"E3","V3A",5102,"<2 cm",988,1000,0.988
"E3","V3A",5102,"2-4 cm",0,1000,0
"E3","V3A",5102,"4-6 cm",0,1000,0
"E3","V3A",5102,"6-8 cm",4,1000,0.004
"E3","V3A",5102,">8 cm",8,1000,0.008
"E3","V3A",5103,"<2 cm",976,1000,0.976
"E3","V3A",5103,"2-4 cm",8,1000,0.008
"E3","V3A",5103,"4-6 cm",4,1000,0.004
"E3","V3A",5103,"6-8 cm",0,1000,0
"E3","V3A",5103,">8 cm",12,1000,0.012
"E3","V3A",5104,"<2 cm",992,1000,0.992
"E3","V3A",5104,"2-4 cm",4,1000,0.004
"E3","V3A",5104,"4-6 cm",0,1000,0
"E3","V3A",5104,"6-8 cm",0,1000,0
"E3","V3A",5104,">8 cm",4,1000,0.004
"E3","V3A",5105,"<2 cm",980,1000,0.98
"E3","V3A",5105,"2-4 cm",12,1000,0.012
"E3","V3A",5105,"4-6 cm",0,1000,0
"E3","V3A",5105,"6-8 cm",4,1000,0.004
"E3","V3A",5105,">8 cm",4,1000,0.004
"E3","V3A",5106,"<2 cm",984,1000,0.984
"E3","V3A",5106,"2-4 cm",4,1000,0.004
"E3","V3A",5106,"4-6 cm",8,1000,0.008
"E3","V3A",5106,"6-8 cm",0,1000,0
"E3","V3A",5106,">8 cm",4,1000,0.004
"E3","V3A",5107,"<2 cm",976,1000,0.976
"E3","V3A",5107,"2-4 cm",8,1000,0.008
"E3","V3A",5107,"4-6 cm",4,1000,0.004
"E3","V3A",5107,"6-8 cm",0,1000,0
"E3","V3A",5107,">8 cm",12,1000,0.012
"E3","V3A",5108,"<2 cm",980,1000,0.98
"E3","V3A",5108,"2-4 cm",4,1000,0.004
"E3","V3A",5108,"4-6 cm",0,1000,0
"E3","V3A",5108,"6-8 cm",0,1000,0
"E3","V3A",5108,">8 cm",16,1000,0.016
"E3","V3A",5109,"<2 cm",976,1000,0.976
"E3","V3A",5109,"2-4 cm",16,1000,0.016
"E3","V3A",5109,"4-6 cm",0,1000,0
"E3","V3A",5109,"6-8 cm",0,1000,0
"E3","V3A",5109,">8 cm",8,1000,0.008
"E3","V3A",5110,"<2 cm",972,1000,0.972
"E3","V3A",5110,"2-4 cm",16,1000,0.016
"E3","V3A",5110,"4-6 cm",4,1000,0.004
"E3","V3A",5110,"6-8 cm",0,1000,0
"E3","V3A",5110,">8 cm",8,1000,0.008
"E3","V3A",6101,"<2 cm",2034,2250,0.904
"E3","V3A",6101,"2-4 cm",18,2250,0.008
"E3","V3A",6101,"4-6 cm",9,2250,0.004
"E3","V3A",6101,"6-8 cm",0,2250,0
"E3","V3A",6101,">8 cm",189,2250,0.084
"E3","V3A",6102,"<2 cm",900,1000,0.9
"E3","V3A",6102,"2-4 cm",8,1000,0.008
"E3","V3A",6102,"4-6 cm",0,1000,0
"E3","V3A",6102,"6-8 cm",0,1000,0
"E3","V3A",6102,">8 cm",92,1000,0.092
"E3","V3A",6103,"<2 cm",912,1000,0.912
"E3","V3A",6103,"2-4 cm",8,1000,0.008
"E3","V3A",6103,"4-6 cm",0,1000,0
"E3","V3A",6103,"6-8 cm",0,1000,0
"E3","V3A",6103,">8 cm",80,1000,0.08
"E3","V3A",6104,"<2 cm",912,1000,0.912
"E3","V3A",6104,"2-4 cm",8,1000,0.008
"E3","V3A",6104,"4-6 cm",0,1000,0
"E3","V3A",6104,"6-8 cm",0,1000,0
"E3","V3A",6104,">8 cm",80,1000,0.08
"E3","V3A",6105,"<2 cm",908,1000,0.908
"E3","V3A",6105,"2-4 cm",4,1000,0.004
"E3","V3A",6105,"4-6 cm",4,1000,0.004
"E3","V3A",6105,"6-8 cm",0,1000,0
