active_neurons,eff_connections,mean_abs_weight,s2n,s2a,n2n,n2a,experiment,seed,fitness
9,42,2.1222301664806547,9,10,5,18,E1,14,8497.707031
9,43,2.0346282249273258,9,13,6,15,E1,14,8494.121094
9,42,2.1460338774181547,9,11,4,18,E1,14,8492.731445
8,43,2.183800985646802,6,12,7,18,E1,14,8492.023438
8,42,2.0151309058779763,9,11,6,16,E1,14,8491.025391
9,46,2.092781398607337,9,15,7,15,E1,14,8490.442383
9,46,2.0904036812160327,9,16,7,14,E1,14,8480.425781
9,42,2.1222301664806547,9,10,5,18,E1,14,8475.06543
10,45,2.086404079861111,12,9,6,18,E1,14,8463.676758
10,45,2.2548936631944443,7,15,10,13,E1,15,9133.349609
9,44,2.2898809259588067,8,14,8,14,E1,15,8983.423828
9,44,2.291470614346591,9,16,8,11,E1,15,8918.329102
9,42,2.1724969773065474,9,14,7,12,E1,15,8509.724609
9,42,2.4257260277157737,8,13,10,11,E1,15,8501.362305
9,44,2.326657381924716,8,16,8,12,E1,15,8499.376953
9,42,2.4180995396205356,8,15,10,9,E1,15,8490.792969
10,44,2.1841014515269888,10,13,10,11,E1,15,8488.939453
9,42,2.4180995396205356,9,14,8,11,E1,15,8481.099609
8,40,2.3862060546875,8,14,8,10,E1,15,8480.795898
9,41,2.2701416015625,7,16,4,14,E1,16,8499.243164
8,40,2.2678955078125,6,17,4,13,E1,16,8497.773438
8,41,2.2671672541920733,6,18,4,13,E1,16,8497.765625
9,42,2.2945091610863093,6,18,4,14,E1,16,8494.956055
9,41,2.2587027200838414,6,17,4,14,E1,16,8492.677734
9,41,2.2586967654344514,6,17,4,14,E1,16,8492.147461
8,40,2.2678955078125,6,17,4,13,E1,16,8490.107422
8,40,2.2749267578125,6,17,4,13,E1,16,8489.87207
9,42,2.306425548735119,7,17,4,14,E1,16,8487.388672
9,41,2.265949528391768,5,17,5,14,E1,16,8485.005859
11,48,1.925916035970052,12,7,9,20,E1,17,9486.494141
10,47,1.900910073138298,11,8,7,21,E1,17,9350.686523
12,50,1.9156201171875,9,8,12,21,E1,17,9251.263672
11,49,1.905574876434949,11,8,11,19,E1,17,9118.636719
11,49,1.8850570990114797,13,7,8,21,E1,17,9075.786133
12,50,1.9302392578125,11,8,12,19,E1,17,9011.146484
10,47,1.894281914893617,10,10,7,20,E1,17,8801.405273
11,49,1.8451376155931123,11,9,9,20,E1,17,8765.249023
12,50,1.982763671875,10,9,13,18,E1,17,8747.869141
12,50,1.9652587890625,11,10,10,19,E1,17,8617.960938
11,48,2.0178680419921875,11,14,11,12,E1,18,8494.503906
11,50,1.94007568359375,12,13,11,14,E1,18,8494.458008
12,50,2.07228271484375,10,16,11,13,E1,18,8493.714844
11,49,1.9560198102678572,9,10,14,16,E1,18,8487.083984
10,47,1.9777000914228724,10,15,11,11,E1,18,8481.037109
11,49,1.963573222257653,9,11,14,15,E1,18,8477.185547
11,50,2.04206298828125,12,12,10,16,E1,18,8475.830078
11,48,2.0491180419921875,11,14,10,13,E1,18,8473.881836
11,50,1.98991943359375,12,15,10,13,E1,18,8472.727539
11,48,2.038701375325521,11,14,11,12,E1,18,8463.374023
6,37,1.8524103937922298,6,18,3,10,E1,19,6977.595215
6,38,1.7360068873355263,7,15,8,8,E1,19,5967.242188
4,28,1.7636893136160714,5,15,2,6,E1,19,5958.227539
6,38,1.8055484169407894,6,18,5,9,E1,19,5956.900391
7,38,1.687342593544408,7,15,8,8,E1,19,5956.754883
4,26,1.5874586838942308,3,15,1,7,E1,19,5954.586426
6,38,1.7360068873355263,7,15,8,8,E1,19,5952.055664
7,38,1.7053929379111843,8,13,6,11,E1,19,5944.241211
5,33,1.6984493371212122,5,18,2,8,E1,19,5942.002441
9,44,1.7745638760653408,12,11,8,13,E1,19,5934.101074
8,45,1.8052110460069444,10,16,7,12,E1,20,8489.129883
11,49,1.8355837452168366,11,13,10,15,E1,20,8488.998047
8,46,1.8393899668817935,10,17,7,12,E1,20,8488.192383
10,49,1.8355837452168366,11,14,9,15,E1,20,8487.25
10,49,1.835613639987245,11,12,10,16,E1,20,8483.671875
9,47,1.8296989278590425,12,13,8,14,E1,20,8475.508789
10,48,1.869890848795573,11,13,10,14,E1,20,8473.603516
10,49,1.815170599489796,11,14,10,14,E1,20,8465.195312
10,49,1.8355837452168366,12,14,9,14,E1,20,8463.013672
10,49,1.8355837452168366,11,14,9,15,E1,20,8461.984375
11,46,1.6626188858695652,9,12,7,18,E1,21,9934.636719
9,41,1.7746730897484757,7,16,4,14,E1,21,9317.748047
11,48,1.7465133666992188,7,19,9,13,E1,21,8911.847656
9,41,1.8379233755716464,8,14,4,15,E1,21,8784.138672
9,43,1.7588373228561047,7,16,5,15,E1,21,8714.552734
11,46,1.6517493206521738,9,13,7,17,E1,21,8648.743164
11,48,1.7159449259440105,8,13,11,16,E1,21,8639.407227
10,42,1.7692376999627977,8,12,6,16,E1,21,8605.956055
11,47,1.6744151013962767,8,17,7,15,E1,21,8602.319336
9,40,1.8163726806640625,7,13,4,16,E1,21,8498.900391
9,43,1.9052989871002908,15,9,5,14,E1,22,5971.921875
9,42,1.9708484468005953,13,9,3,17,E1,22,5971.345703
10,47,1.956898790724734,15,11,5,16,E1,22,5970.510742
10,45,1.8001302083333333,14,11,5,15,E1,22,5969.927734
9,47,1.790070229388298,15,11,4,17,E1,22,5968.711914
10,45,1.8894205729166667,16,9,4,16,E1,22,5968.308594
9,44,1.856201171875,15,10,3,16,E1,22,5967.168945
9,43,1.8333484738372092,12,10,6,15,E1,22,5966.390625
8,45,1.7759955512152779,14,12,4,15,E1,22,5965.42334
7,40,1.88978271484375,12,10,5,13,E1,22,5960.922852
7,36,1.7738850911458333,7,15,5,9,E1,23,8500.902344
7,37,1.790599926097973,6,15,8,8,E1,23,8500.265625
7,38,1.725720857319079,8,12,8,10,E1,23,8494.823242
8,39,1.5957938952323718,10,13,7,9,E1,23,8494.318359
7,36,1.7919447157118056,6,14,8,8,E1,23,8487.964844
7,37,1.7357441670185811,8,13,8,8,E1,23,8487.300781
7,37,1.7621047561233107,6,15,8,8,E1,23,8485.148438
7,36,1.7742919921875,7,15,5,9,E1,23,8483.158203
7,36,1.6564059787326388,8,11,5,12,E1,23,8482.470703
8,40,1.6498321533203124,9,13,8,10,E1,23,8482.006836
11,50,2.09357421875,9,21,12,8,E1,24,10273.482422
10,49,2.029670559630102,8,22,11,8,E1,24,9446.996094
10,47,2.0753147855718086,8,20,13,6,E1,24,9425.369141
10,49,2.045464963329082,7,24,11,7,E1,24,9192.894531
10,48,2.0726521809895835,10,21,10,7,E1,24,9155.431641
11,50,2.0571923828125,9,22,13,6,E1,24,8924.103516
10,45,2.058498806423611,7,22,9,7,E1,24,8847.257812
9,46,2.117965034816576,7,22,11,6,E1,24,8796.439453
11,50,2.078115234375,9,22,12,7,E1,24,8594.941406
9,45,2.1329888237847223,5,23,11,6,E1,24,8564.792969
9,46,1.9475814155910327,5,16,10,15,E1,25,27917.90625
9,46,1.947602645210598,4,16,11,15,E1,25,17690.648438
9,46,1.94683837890625,4,16,11,15,E1,25,17080.679688
9,46,1.9434787916100544,6,16,9,15,E1,25,15511.935547
9,47,1.944935900099734,5,18,10,14,E1,25,13714.34668
9,47,1.9538288522273937,5,18,10,14,E1,25,12908.107422
9,46,1.9420351774796196,6,17,9,14,E1,25,12347.635742
10,49,1.943588568239796,6,15,12,16,E1,25,12177.509766
10,47,1.9744873046875,6,18,10,13,E1,25,12004.547852
9,45,1.8879774305555554,6,18,8,13,E1,25,11545.357422
10,49,2.2842843191964284,8,14,14,13,E1,26,10702.541992
10,49,2.2415622010522958,10,14,12,13,E1,26,9285.513672
11,49,2.241641920440051,10,11,13,15,E1,26,9254.0625
10,48,2.2860183715820312,11,12,11,14,E1,26,9237.580078
10,49,2.314861686862245,9,16,11,13,E1,26,9057.772461
10,49,2.3072036431760203,9,14,11,15,E1,26,8989.039062
9,49,2.304652622767857,9,16,12,12,E1,26,8656.007812
10,49,2.3046725526147958,9,14,11,15,E1,26,8515.904297
10,49,2.304652622767857,9,14,12,14,E1,26,8494.828125
10,48,2.2808914184570312,9,12,13,14,E1,26,8491.894531
9,44,1.9857288707386365,10,15,8,11,E1,27,9001.070312
