Generation;AvgFitness;MaxFitness
928;6650,099609;7518,043457
927;6032,250977;7522,011719
926;5830,775391;7515,584961
925;6508,233398;7523,46582
924;6315,30127;7516,354004
923;6528,584473;7519,453613
922;6741,066895;7522,537598
921;6640,529297;7540,782227
920;6548,687012;7518,17334
919;6538,966797;7546,143555
918;6649,54541;7518,214844
917;6135,795898;7517,882812
916;6559,717773;7515,658203
915;6295,919434;7519,642578
914;6590,021484;7519,763184
913;6620,88916;7528,018066
912;6285,17334;7519,356445
911;6448,460938;7522,44043
910;6437,582031;7621,316895
909;6195,35791;7513,590332
908;6094,897461;7516,775879
907;6621,246582;7580,730469
906;6267,847168;7515,352539
905;6346,818359;7515,73291
904;6206,297852;7513,382812
903;6427,961914;7518,375977
902;6478,914551;7514,057617
901;6509,277344;7517,261719
900;6590,357422;7514,305664
899;6488,534668;7522,539551
898;6549,777832;7515,805664
897;6478,861328;7517,719238
896;6247,727051;7514,750977
895;6537,97998;7518,894043
894;6224,270996;7514,309082
893;6589,806641;7532,625488
892;6387,429199;7517,130859
891;6195,66748;7526,038086
890;6640,719238;7517,78125
889;6357,318848;7524,055176
888;6490,134766;7515,131348
887;5955,295898;7519,972168
886;6550,253418;7525,279785
885;6287,196777;7515,283691
884;6316,691895;7517,520508
883;6387,175293;7514,094727
882;6387,440918;7611,810547
881;6620,068359;7516,408203
880;6297,688477;7527,044922
879;6518,017578;7528,739746
878;6590,691406;7515,444336
877;6772,107422;7515,854004
876;6599,096191;7524,277344
875;6621,641113;7529,496094
874;6530,163574;7514,712402
873;6630,121582;7522,029785
872;6428,705566;7517,761719
871;6509,291016;7525,057617
870;6612,080078;7517,022461
869;6691,765137;7521,27832
868;6530,948242;7518,615234
867;6822,533203;7517,700195
866;6600,964844;7515,719727
865;6631,50293;7515,847168
864;6529,467773;7517,392578
863;6448,776367;7520,123535
862;6711,731445;7538,103516
861;6267,004883;7524,474121
860;6186,874512;7517,215332
859;6811,788086;7517,455078
858;6711,9375;7541,375977
857;6559,650879;7517,885254
856;6388,255371;7522,493164
855;6408,407715;7525,981934
854;6299,038574;7518,947266
